36730	21
36731	21
36732	21
36733	21
36734	21
36735	21
36736	21
36737	21
36738	21
36739	21
36740	21
36741	21
36742	21
36743	21
36744	21
36745	33
36746	33
36747	33
36748	33
36749	33
36750	33
36751	33
36752	33
36753	33
36754	33
36755	33
36756	33
36757	33
36758	33
36759	33
36760	33
36761	33
36762	33
36763	33
36764	33
36765	33
36766	33
36767	33
36768	33
36769	33
36770	33
36771	33
36772	33
36773	33
36774	33
36775	33
36776	33
36777	33
36778	33
36779	32
36780	33
36781	33
36782	33
36783	33
36784	32
36785	32
36786	33
36787	33
36788	33
36789	33
36790	32
36791	33
36792	33
36793	32
36794	32
36795	32
36796	32
36797	32
36798	32
36799	33
36800	32
36801	32
36802	33
36803	33
36804	32
36805	32
36806	33
36807	32
36808	32
36809	32
36810	32
36811	32
36812	32
36813	33
36814	33
36815	33
36816	33
36817	33
36818	33
36819	33
36820	33
36821	32
36822	32
36823	32
36824	32
36825	32
36826	32
36827	32
36828	32
36829	30
36830	30
36831	30
36832	19
36833	19
36834	19
36835	19
36836	19
36837	19
36838	19
36839	19
36840	19
36868	32
36869	32
36870	32
36871	32
36872	32
36873	32
36874	32
36875	32
36876	32
36877	32
36878	32
36879	32
36880	32
36881	32
36882	32
36883	32
36884	32
36885	32
36886	32
36887	32
36888	32
36889	32
36890	32
36891	32
36892	32
36893	32
36894	32
36895	32
36896	32
36897	32
36898	32
36899	32
36900	32
36901	32
36902	32
36903	32
36904	32
36905	32
36906	32
36907	32
36908	32
36909	32
36910	32
36911	32
36912	32
36913	32
36914	32
36915	32
36916	32
36917	32
36918	32
36919	32
36920	32
36921	32
36922	32
36923	32
36924	32
36925	32
36926	32
36927	32
36928	32
36929	32

